id,item_id,dept_id,cat_id,state_id,d,value_sales,date,wm_yr_wk,weekday,wday,month,year,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,sell_price
HOUSEHOLD_1_146_CA_1_validation,HOUSEHOLD_1_146,HOUSEHOLD_1,HOUSEHOLD,CA,d_1,1,2011-01-29,11101,Saturday,1,1,2011,"","","","",0,5.89
HOUSEHOLD_1_192_CA_1_validation,HOUSEHOLD_1_192,HOUSEHOLD_1,HOUSEHOLD,CA,d_1,1,2011-01-29,11101,Saturday,1,1,2011,"","","","",0,3.62
HOUSEHOLD_1_492_CA_1_validation,HOUSEHOLD_1_492,HOUSEHOLD_1,HOUSEHOLD,CA,d_1,2,2011-01-29,11101,Saturday,1,1,2011,"","","","",0,3.58
HOUSEHOLD_2_074_CA_1_validation,HOUSEHOLD_2_074,HOUSEHOLD_2,HOUSEHOLD,CA,d_1,2,2011-01-29,11101,Saturday,1,1,2011,"","","","",0,0.97
FOODS_1_019_CA_1_validation,FOODS_1_019,FOODS_1,FOODS,CA,d_1,15,2011-01-29,11101,Saturday,1,1,2011,"","","","",0,0.97
FOODS_3_239_CA_1_validation,FOODS_3_239,FOODS_3,FOODS,CA,d_1,5,2011-01-29,11101,Saturday,1,1,2011,"","","","",0,1.68
FOODS_3_485_CA_1_validation,FOODS_3_485,FOODS_3,FOODS,CA,d_1,7,2011-01-29,11101,Saturday,1,1,2011,"","","","",0,3.48
FOODS_3_679_CA_1_validation,FOODS_3_679,FOODS_3,FOODS,CA,d_1,0,2011-01-29,11101,Saturday,1,1,2011,"","","","",0,3.78
FOODS_3_744_CA_1_validation,FOODS_3_744,FOODS_3,FOODS,CA,d_1,10,2011-01-29,11101,Saturday,1,1,2011,"","","","",0,1.98
HOUSEHOLD_1_146_CA_1_validation,HOUSEHOLD_1_146,HOUSEHOLD_1,HOUSEHOLD,CA,d_2,2,2011-01-30,11101,Sunday,2,1,2011,"","","","",0,5.89
HOUSEHOLD_1_192_CA_1_validation,HOUSEHOLD_1_192,HOUSEHOLD_1,HOUSEHOLD,CA,d_2,1,2011-01-30,11101,Sunday,2,1,2011,"","","","",0,3.62
HOUSEHOLD_1_492_CA_1_validation,HOUSEHOLD_1_492,HOUSEHOLD_1,HOUSEHOLD,CA,d_2,3,2011-01-30,11101,Sunday,2,1,2011,"","","","",0,3.58
HOUSEHOLD_2_074_CA_1_validation,HOUSEHOLD_2_074,HOUSEHOLD_2,HOUSEHOLD,CA,d_2,1,2011-01-30,11101,Sunday,2,1,2011,"","","","",0,0.97
FOODS_1_019_CA_1_validation,FOODS_1_019,FOODS_1,FOODS,CA,d_2,9,2011-01-30,11101,Sunday,2,1,2011,"","","","",0,0.97
FOODS_3_239_CA_1_validation,FOODS_3_239,FOODS_3,FOODS,CA,d_2,5,2011-01-30,11101,Sunday,2,1,2011,"","","","",0,1.68
FOODS_3_485_CA_1_validation,FOODS_3_485,FOODS_3,FOODS,CA,d_2,7,2011-01-30,11101,Sunday,2,1,2011,"","","","",0,3.48
FOODS_3_679_CA_1_validation,FOODS_3_679,FOODS_3,FOODS,CA,d_2,0,2011-01-30,11101,Sunday,2,1,2011,"","","","",0,3.78
FOODS_3_744_CA_1_validation,FOODS_3_744,FOODS_3,FOODS,CA,d_2,15,2011-01-30,11101,Sunday,2,1,2011,"","","","",0,1.98
HOUSEHOLD_1_146_CA_1_validation,HOUSEHOLD_1_146,HOUSEHOLD_1,HOUSEHOLD,CA,d_3,3,2011-01-31,11101,Monday,3,1,2011,"","","","",0,5.89
HOUSEHOLD_1_192_CA_1_validation,HOUSEHOLD_1_192,HOUSEHOLD_1,HOUSEHOLD,CA,d_3,0,2011-01-31,11101,Monday,3,1,2011,"","","","",0,3.62
HOUSEHOLD_1_492_CA_1_validation,HOUSEHOLD_1_492,HOUSEHOLD_1,HOUSEHOLD,CA,d_3,1,2011-01-31,11101,Monday,3,1,2011,"","","","",0,3.58
HOUSEHOLD_2_074_CA_1_validation,HOUSEHOLD_2_074,HOUSEHOLD_2,HOUSEHOLD,CA,d_3,1,2011-01-31,11101,Monday,3,1,2011,"","","","",0,0.97
FOODS_1_019_CA_1_validation,FOODS_1_019,FOODS_1,FOODS,CA,d_3,6,2011-01-31,11101,Monday,3,1,2011,"","","","",0,0.97
FOODS_3_239_CA_1_validation,FOODS_3_239,FOODS_3,FOODS,CA,d_3,0,2011-01-31,11101,Monday,3,1,2011,"","","","",0,1.68
FOODS_3_485_CA_1_validation,FOODS_3_485,FOODS_3,FOODS,CA,d_3,2,2011-01-31,11101,Monday,3,1,2011,"","","","",0,3.48
FOODS_3_679_CA_1_validation,FOODS_3_679,FOODS_3,FOODS,CA,d_3,0,2011-01-31,11101,Monday,3,1,2011,"","","","",0,3.78
FOODS_3_744_CA_1_validation,FOODS_3_744,FOODS_3,FOODS,CA,d_3,13,2011-01-31,11101,Monday,3,1,2011,"","","","",0,1.98
HOUSEHOLD_1_146_CA_1_validation,HOUSEHOLD_1_146,HOUSEHOLD_1,HOUSEHOLD,CA,d_4,1,2011-02-01,11101,Tuesday,4,2,2011,"","","","",1,5.89
HOUSEHOLD_1_192_CA_1_validation,HOUSEHOLD_1_192,HOUSEHOLD_1,HOUSEHOLD,CA,d_4,0,2011-02-01,11101,Tuesday,4,2,2011,"","","","",1,3.62
HOUSEHOLD_1_492_CA_1_validation,HOUSEHOLD_1_492,HOUSEHOLD_1,HOUSEHOLD,CA,d_4,0,2011-02-01,11101,Tuesday,4,2,2011,"","","","",1,3.58
HOUSEHOLD_2_074_CA_1_validation,HOUSEHOLD_2_074,HOUSEHOLD_2,HOUSEHOLD,CA,d_4,2,2011-02-01,11101,Tuesday,4,2,2011,"","","","",1,0.97
FOODS_1_019_CA_1_validation,FOODS_1_019,FOODS_1,FOODS,CA,d_4,0,2011-02-01,11101,Tuesday,4,2,2011,"","","","",1,0.97
FOODS_3_239_CA_1_validation,FOODS_3_239,FOODS_3,FOODS,CA,d_4,1,2011-02-01,11101,Tuesday,4,2,2011,"","","","",1,1.68
FOODS_3_485_CA_1_validation,FOODS_3_485,FOODS_3,FOODS,CA,d_4,6,2011-02-01,11101,Tuesday,4,2,2011,"","","","",1,3.48
FOODS_3_679_CA_1_validation,FOODS_3_679,FOODS_3,FOODS,CA,d_4,0,2011-02-01,11101,Tuesday,4,2,2011,"","","","",1,3.78
FOODS_3_744_CA_1_validation,FOODS_3_744,FOODS_3,FOODS,CA,d_4,6,2011-02-01,11101,Tuesday,4,2,2011,"","","","",1,1.98
HOUSEHOLD_1_146_CA_1_validation,HOUSEHOLD_1_146,HOUSEHOLD_1,HOUSEHOLD,CA,d_5,2,2011-02-02,11101,Wednesday,5,2,2011,"","","","",1,5.89
HOUSEHOLD_1_192_CA_1_validation,HOUSEHOLD_1_192,HOUSEHOLD_1,HOUSEHOLD,CA,d_5,0,2011-02-02,11101,Wednesday,5,2,2011,"","","","",1,3.62
HOUSEHOLD_1_492_CA_1_validation,HOUSEHOLD_1_492,HOUSEHOLD_1,HOUSEHOLD,CA,d_5,0,2011-02-02,11101,Wednesday,5,2,2011,"","","","",1,3.58
HOUSEHOLD_2_074_CA_1_validation,HOUSEHOLD_2_074,HOUSEHOLD_2,HOUSEHOLD,CA,d_5,1,2011-02-02,11101,Wednesday,5,2,2011,"","","","",1,0.97
FOODS_1_019_CA_1_validation,FOODS_1_019,FOODS_1,FOODS,CA,d_5,3,2011-02-02,11101,Wednesday,5,2,2011,"","","","",1,0.97
FOODS_3_239_CA_1_validation,FOODS_3_239,FOODS_3,FOODS,CA,d_5,1,2011-02-02,11101,Wednesday,5,2,2011,"","","","",1,1.68
FOODS_3_485_CA_1_validation,FOODS_3_485,FOODS_3,FOODS,CA,d_5,2,2011-02-02,11101,Wednesday,5,2,2011,"","","","",1,3.48
FOODS_3_679_CA_1_validation,FOODS_3_679,FOODS_3,FOODS,CA,d_5,0,2011-02-02,11101,Wednesday,5,2,2011,"","","","",1,3.78
FOODS_3_744_CA_1_validation,FOODS_3_744,FOODS_3,FOODS,CA,d_5,10,2011-02-02,11101,Wednesday,5,2,2011,"","","","",1,1.98
HOUSEHOLD_1_146_CA_1_validation,HOUSEHOLD_1_146,HOUSEHOLD_1,HOUSEHOLD,CA,d_6,0,2011-02-03,11101,Thursday,6,2,2011,"","","","",1,5.89
HOUSEHOLD_1_192_CA_1_validation,HOUSEHOLD_1_192,HOUSEHOLD_1,HOUSEHOLD,CA,d_6,0,2011-02-03,11101,Thursday,6,2,2011,"","","","",1,3.62
HOUSEHOLD_1_492_CA_1_validation,HOUSEHOLD_1_492,HOUSEHOLD_1,HOUSEHOLD,CA,d_6,1,2011-02-03,11101,Thursday,6,2,2011,"","","","",1,3.58
HOUSEHOLD_2_074_CA_1_validation,HOUSEHOLD_2_074,HOUSEHOLD_2,HOUSEHOLD,CA,d_6,4,2011-02-03,11101,Thursday,6,2,2011,"","","","",1,0.97
FOODS_1_019_CA_1_validation,FOODS_1_019,FOODS_1,FOODS,CA,d_6,3,2011-02-03,11101,Thursday,6,2,2011,"","","","",1,0.97
FOODS_3_239_CA_1_validation,FOODS_3_239,FOODS_3,FOODS,CA,d_6,3,2011-02-03,11101,Thursday,6,2,2011,"","","","",1,1.68
FOODS_3_485_CA_1_validation,FOODS_3_485,FOODS_3,FOODS,CA,d_6,3,2011-02-03,11101,Thursday,6,2,2011,"","","","",1,3.48
FOODS_3_679_CA_1_validation,FOODS_3_679,FOODS_3,FOODS,CA,d_6,2,2011-02-03,11101,Thursday,6,2,2011,"","","","",1,3.78
FOODS_3_744_CA_1_validation,FOODS_3_744,FOODS_3,FOODS,CA,d_6,15,2011-02-03,11101,Thursday,6,2,2011,"","","","",1,1.98
HOUSEHOLD_1_146_CA_1_validation,HOUSEHOLD_1_146,HOUSEHOLD_1,HOUSEHOLD,CA,d_7,1,2011-02-04,11101,Friday,7,2,2011,"","","","",1,5.89
HOUSEHOLD_1_192_CA_1_validation,HOUSEHOLD_1_192,HOUSEHOLD_1,HOUSEHOLD,CA,d_7,0,2011-02-04,11101,Friday,7,2,2011,"","","","",1,3.62
HOUSEHOLD_1_492_CA_1_validation,HOUSEHOLD_1_492,HOUSEHOLD_1,HOUSEHOLD,CA,d_7,2,2011-02-04,11101,Friday,7,2,2011,"","","","",1,3.58
HOUSEHOLD_2_074_CA_1_validation,HOUSEHOLD_2_074,HOUSEHOLD_2,HOUSEHOLD,CA,d_7,3,2011-02-04,11101,Friday,7,2,2011,"","","","",1,0.97
FOODS_1_019_CA_1_validation,FOODS_1_019,FOODS_1,FOODS,CA,d_7,3,2011-02-04,11101,Friday,7,2,2011,"","","","",1,0.97
FOODS_3_239_CA_1_validation,FOODS_3_239,FOODS_3,FOODS,CA,d_7,7,2011-02-04,11101,Friday,7,2,2011,"","","","",1,1.68
FOODS_3_485_CA_1_validation,FOODS_3_485,FOODS_3,FOODS,CA,d_7,8,2011-02-04,11101,Friday,7,2,2011,"","","","",1,3.48
FOODS_3_679_CA_1_validation,FOODS_3_679,FOODS_3,FOODS,CA,d_7,9,2011-02-04,11101,Friday,7,2,2011,"","","","",1,3.78
FOODS_3_744_CA_1_validation,FOODS_3_744,FOODS_3,FOODS,CA,d_7,8,2011-02-04,11101,Friday,7,2,2011,"","","","",1,1.98
HOBBIES_1_413_CA_1_validation,HOBBIES_1_413,HOBBIES_1,HOBBIES,CA,d_8,2,2011-02-05,11102,Saturday,1,2,2011,"","","","",1,4.66
HOUSEHOLD_1_146_CA_1_validation,HOUSEHOLD_1_146,HOUSEHOLD_1,HOUSEHOLD,CA,d_8,3,2011-02-05,11102,Saturday,1,2,2011,"","","","",1,5.89
HOUSEHOLD_1_182_CA_1_validation,HOUSEHOLD_1_182,HOUSEHOLD_1,HOUSEHOLD,CA,d_8,2,2011-02-05,11102,Saturday,1,2,2011,"","","","",1,4.47
HOUSEHOLD_1_192_CA_1_validation,HOUSEHOLD_1_192,HOUSEHOLD_1,HOUSEHOLD,CA,d_8,0,2011-02-05,11102,Saturday,1,2,2011,"","","","",1,3.62
HOUSEHOLD_1_492_CA_1_validation,HOUSEHOLD_1_492,HOUSEHOLD_1,HOUSEHOLD,CA,d_8,3,2011-02-05,11102,Saturday,1,2,2011,"","","","",1,3.58
HOUSEHOLD_2_074_CA_1_validation,HOUSEHOLD_2_074,HOUSEHOLD_2,HOUSEHOLD,CA,d_8,0,2011-02-05,11102,Saturday,1,2,2011,"","","","",1,0.97
FOODS_1_019_CA_1_validation,FOODS_1_019,FOODS_1,FOODS,CA,d_8,16,2011-02-05,11102,Saturday,1,2,2011,"","","","",1,0.97
FOODS_3_239_CA_1_validation,FOODS_3_239,FOODS_3,FOODS,CA,d_8,2,2011-02-05,11102,Saturday,1,2,2011,"","","","",1,1.68
FOODS_3_485_CA_1_validation,FOODS_3_485,FOODS_3,FOODS,CA,d_8,8,2011-02-05,11102,Saturday,1,2,2011,"","","","",1,3.48
FOODS_3_679_CA_1_validation,FOODS_3_679,FOODS_3,FOODS,CA,d_8,1,2011-02-05,11102,Saturday,1,2,2011,"","","","",1,3.78
FOODS_3_744_CA_1_validation,FOODS_3_744,FOODS_3,FOODS,CA,d_8,26,2011-02-05,11102,Saturday,1,2,2011,"","","","",1,1.98
HOBBIES_1_413_CA_1_validation,HOBBIES_1_413,HOBBIES_1,HOBBIES,CA,d_9,0,2011-02-06,11102,Sunday,2,2,2011,SuperBowl,Sporting,"","",1,4.66
HOUSEHOLD_1_146_CA_1_validation,HOUSEHOLD_1_146,HOUSEHOLD_1,HOUSEHOLD,CA,d_9,0,2011-02-06,11102,Sunday,2,2,2011,SuperBowl,Sporting,"","",1,5.89
HOUSEHOLD_1_182_CA_1_validation,HOUSEHOLD_1_182,HOUSEHOLD_1,HOUSEHOLD,CA,d_9,2,2011-02-06,11102,Sunday,2,2,2011,SuperBowl,Sporting,"","",1,4.47
HOUSEHOLD_1_192_CA_1_validation,HOUSEHOLD_1_192,HOUSEHOLD_1,HOUSEHOLD,CA,d_9,0,2011-02-06,11102,Sunday,2,2,2011,SuperBowl,Sporting,"","",1,3.62
HOUSEHOLD_1_492_CA_1_validation,HOUSEHOLD_1_492,HOUSEHOLD_1,HOUSEHOLD,CA,d_9,0,2011-02-06,11102,Sunday,2,2,2011,SuperBowl,Sporting,"","",1,3.58
HOUSEHOLD_2_074_CA_1_validation,HOUSEHOLD_2_074,HOUSEHOLD_2,HOUSEHOLD,CA,d_9,3,2011-02-06,11102,Sunday,2,2,2011,SuperBowl,Sporting,"","",1,0.97
FOODS_1_019_CA_1_validation,FOODS_1_019,FOODS_1,FOODS,CA,d_9,6,2011-02-06,11102,Sunday,2,2,2011,SuperBowl,Sporting,"","",1,0.97
FOODS_3_239_CA_1_validation,FOODS_3_239,FOODS_3,FOODS,CA,d_9,2,2011-02-06,11102,Sunday,2,2,2011,SuperBowl,Sporting,"","",1,1.68
FOODS_3_485_CA_1_validation,FOODS_3_485,FOODS_3,FOODS,CA,d_9,5,2011-02-06,11102,Sunday,2,2,2011,SuperBowl,Sporting,"","",1,3.48
FOODS_3_679_CA_1_validation,FOODS_3_679,FOODS_3,FOODS,CA,d_9,0,2011-02-06,11102,Sunday,2,2,2011,SuperBowl,Sporting,"","",1,3.78
FOODS_3_744_CA_1_validation,FOODS_3_744,FOODS_3,FOODS,CA,d_9,13,2011-02-06,11102,Sunday,2,2,2011,SuperBowl,Sporting,"","",1,1.98
HOBBIES_1_413_CA_1_validation,HOBBIES_1_413,HOBBIES_1,HOBBIES,CA,d_10,1,2011-02-07,11102,Monday,3,2,2011,"","","","",1,4.66
