dept_id,state_id,cat_id,d,date,event_name_1,event_type_1,value_sales,sell_price
FOODS_1,CA,FOODS,d_1,2011-01-29,"","",297,2.98910891089109
FOODS_1,CA,FOODS,d_10,2011-02-07,"","",176,3.01663551401869
FOODS_1,CA,FOODS,d_100,2011-05-08,Mother's day,Cultural,211,2.98785123966942
FOODS_1,CA,FOODS,d_1000,2013-10-24,"","",243,3.23799019607843
FOODS_1,CA,FOODS,d_1001,2013-10-25,"","",331,3.23799019607843
FOODS_1,CA,FOODS,d_1002,2013-10-26,"","",341,3.23799019607843
FOODS_1,CA,FOODS,d_1003,2013-10-27,"","",335,3.23799019607843
FOODS_1,CA,FOODS,d_1004,2013-10-28,"","",264,3.23799019607843
FOODS_1,CA,FOODS,d_1005,2013-10-29,"","",289,3.23799019607843
FOODS_1,CA,FOODS,d_1006,2013-10-30,"","",366,3.23799019607843
FOODS_1,CA,FOODS,d_1007,2013-10-31,Halloween,Cultural,293,3.23799019607843
FOODS_1,CA,FOODS,d_1008,2013-11-01,"","",223,3.23799019607843
FOODS_1,CA,FOODS,d_1009,2013-11-02,"","",267,3.23504901960784
FOODS_1,CA,FOODS,d_101,2011-05-09,"","",175,2.98785123966942
FOODS_1,CA,FOODS,d_1010,2013-11-03,"","",272,3.23504901960784
FOODS_1,CA,FOODS,d_1011,2013-11-04,"","",159,3.23504901960784
FOODS_1,CA,FOODS,d_1012,2013-11-05,"","",200,3.23504901960784
FOODS_1,CA,FOODS,d_1013,2013-11-06,"","",167,3.23504901960784
FOODS_1,CA,FOODS,d_1014,2013-11-07,"","",197,3.23504901960784
FOODS_1,CA,FOODS,d_1015,2013-11-08,"","",256,3.23504901960784
FOODS_1,CA,FOODS,d_1016,2013-11-09,"","",288,3.23210784313725
FOODS_1,CA,FOODS,d_1017,2013-11-10,"","",271,3.23210784313725
FOODS_1,CA,FOODS,d_1018,2013-11-11,VeteransDay,National,220,3.23210784313725
FOODS_1,CA,FOODS,d_1019,2013-11-12,"","",194,3.23210784313725
FOODS_1,CA,FOODS,d_102,2011-05-10,"","",162,2.98785123966942
FOODS_1,CA,FOODS,d_1020,2013-11-13,"","",177,3.23210784313725
FOODS_1,CA,FOODS,d_1021,2013-11-14,"","",231,3.23210784313725
FOODS_1,CA,FOODS,d_1022,2013-11-15,"","",243,3.23210784313725
FOODS_1,CA,FOODS,d_1023,2013-11-16,"","",349,3.22916666666667
FOODS_1,CA,FOODS,d_1024,2013-11-17,"","",233,3.22916666666667
FOODS_1,CA,FOODS,d_1025,2013-11-18,"","",209,3.22916666666667
FOODS_1,CA,FOODS,d_1026,2013-11-19,"","",325,3.22916666666667
FOODS_1,CA,FOODS,d_1027,2013-11-20,"","",185,3.22916666666667
FOODS_1,CA,FOODS,d_1028,2013-11-21,"","",240,3.22916666666667
FOODS_1,CA,FOODS,d_1029,2013-11-22,"","",274,3.22916666666667
FOODS_1,CA,FOODS,d_103,2011-05-11,"","",135,2.98785123966942
FOODS_1,CA,FOODS,d_1030,2013-11-23,"","",355,3.23409756097561
FOODS_1,CA,FOODS,d_1031,2013-11-24,"","",300,3.23409756097561
FOODS_1,CA,FOODS,d_1032,2013-11-25,"","",250,3.23409756097561
FOODS_1,CA,FOODS,d_1033,2013-11-26,"","",291,3.23409756097561
FOODS_1,CA,FOODS,d_1034,2013-11-27,"","",306,3.23409756097561
FOODS_1,CA,FOODS,d_1035,2013-11-28,Thanksgiving,National,161,3.23409756097561
FOODS_1,CA,FOODS,d_1036,2013-11-29,"","",233,3.23409756097561
FOODS_1,CA,FOODS,d_1037,2013-11-30,"","",232,3.23482926829268
FOODS_1,CA,FOODS,d_1038,2013-12-01,"","",258,3.23482926829268
FOODS_1,CA,FOODS,d_1039,2013-12-02,"","",218,3.23482926829268
FOODS_1,CA,FOODS,d_104,2011-05-12,"","",167,2.98785123966942
FOODS_1,CA,FOODS,d_1040,2013-12-03,"","",245,3.23482926829268
FOODS_1,CA,FOODS,d_1041,2013-12-04,"","",251,3.23482926829268
FOODS_1,CA,FOODS,d_1042,2013-12-05,Chanukah End,Religious,261,3.23482926829268
FOODS_1,CA,FOODS,d_1043,2013-12-06,"","",375,3.23482926829268
FOODS_1,CA,FOODS,d_1044,2013-12-07,"","",413,3.23517073170732
FOODS_1,CA,FOODS,d_1045,2013-12-08,"","",387,3.23517073170732
FOODS_1,CA,FOODS,d_1046,2013-12-09,"","",295,3.23517073170732
FOODS_1,CA,FOODS,d_1047,2013-12-10,"","",317,3.23517073170732
FOODS_1,CA,FOODS,d_1048,2013-12-11,"","",316,3.23517073170732
FOODS_1,CA,FOODS,d_1049,2013-12-12,"","",307,3.23517073170732
FOODS_1,CA,FOODS,d_105,2011-05-13,"","",179,2.98785123966942
FOODS_1,CA,FOODS,d_1050,2013-12-13,"","",422,3.23517073170732
FOODS_1,CA,FOODS,d_1051,2013-12-14,"","",443,3.22590243902439
FOODS_1,CA,FOODS,d_1052,2013-12-15,"","",342,3.22590243902439
FOODS_1,CA,FOODS,d_1053,2013-12-16,"","",306,3.22590243902439
FOODS_1,CA,FOODS,d_1054,2013-12-17,"","",361,3.22590243902439
FOODS_1,CA,FOODS,d_1055,2013-12-18,"","",436,3.22590243902439
FOODS_1,CA,FOODS,d_1056,2013-12-19,"","",471,3.22590243902439
FOODS_1,CA,FOODS,d_1057,2013-12-20,"","",465,3.22590243902439
FOODS_1,CA,FOODS,d_1058,2013-12-21,"","",625,3.22590243902439
FOODS_1,CA,FOODS,d_1059,2013-12-22,"","",571,3.22590243902439
FOODS_1,CA,FOODS,d_106,2011-05-14,"","",274,2.98785123966942
FOODS_1,CA,FOODS,d_1060,2013-12-23,"","",535,3.22590243902439
FOODS_1,CA,FOODS,d_1061,2013-12-24,"","",486,3.22590243902439
FOODS_1,CA,FOODS,d_1062,2013-12-25,Christmas,National,0,3.22590243902439
FOODS_1,CA,FOODS,d_1063,2013-12-26,"","",179,3.22590243902439
FOODS_1,CA,FOODS,d_1064,2013-12-27,"","",247,3.22590243902439
FOODS_1,CA,FOODS,d_1065,2013-12-28,"","",303,3.21814634146342
FOODS_1,CA,FOODS,d_1066,2013-12-29,"","",344,3.21814634146342
FOODS_1,CA,FOODS,d_1067,2013-12-30,"","",303,3.21814634146342
FOODS_1,CA,FOODS,d_1068,2013-12-31,"","",333,3.21814634146342
FOODS_1,CA,FOODS,d_1069,2014-01-01,NewYear,National,191,3.21814634146342
FOODS_1,CA,FOODS,d_107,2011-05-15,"","",204,2.98785123966942
FOODS_1,CA,FOODS,d_1070,2014-01-02,"","",242,3.21814634146342
FOODS_1,CA,FOODS,d_1071,2014-01-03,"","",349,3.21814634146342
FOODS_1,CA,FOODS,d_1072,2014-01-04,"","",312,3.21975609756098
FOODS_1,CA,FOODS,d_1073,2014-01-05,"","",269,3.21975609756098
FOODS_1,CA,FOODS,d_1074,2014-01-06,"","",230,3.21975609756098
FOODS_1,CA,FOODS,d_1075,2014-01-07,OrthodoxChristmas,Religious,282,3.21975609756098
FOODS_1,CA,FOODS,d_1076,2014-01-08,"","",277,3.21975609756098
FOODS_1,CA,FOODS,d_1077,2014-01-09,"","",294,3.21975609756098
FOODS_1,CA,FOODS,d_1078,2014-01-10,"","",334,3.21975609756098
FOODS_1,CA,FOODS,d_1079,2014-01-11,"","",311,3.22043902439024
FOODS_1,CA,FOODS,d_108,2011-05-16,"","",170,2.98785123966942
FOODS_1,CA,FOODS,d_1080,2014-01-12,"","",321,3.22043902439024
FOODS_1,CA,FOODS,d_1081,2014-01-13,"","",211,3.22043902439024
FOODS_1,CA,FOODS,d_1082,2014-01-14,"","",217,3.22043902439024
FOODS_1,CA,FOODS,d_1083,2014-01-15,"","",200,3.22043902439024
FOODS_1,CA,FOODS,d_1084,2014-01-16,"","",198,3.22043902439024
FOODS_1,CA,FOODS,d_1085,2014-01-17,"","",342,3.22043902439024
FOODS_1,CA,FOODS,d_1086,2014-01-18,"","",343,3.22248780487805
FOODS_1,CA,FOODS,d_1087,2014-01-19,"","",324,3.22248780487805
FOODS_1,CA,FOODS,d_1088,2014-01-20,MartinLutherKingDay,National,334,3.22248780487805
FOODS_1,CA,FOODS,d_1089,2014-01-21,"","",224,3.22248780487805
FOODS_1,CA,FOODS,d_109,2011-05-17,"","",158,2.98785123966942
FOODS_1,CA,FOODS,d_1090,2014-01-22,"","",180,3.22248780487805
FOODS_1,CA,FOODS,d_1091,2014-01-23,"","",229,3.22248780487805
FOODS_1,CA,FOODS,d_1092,2014-01-24,"","",316,3.22248780487805
FOODS_1,CA,FOODS,d_1093,2014-01-25,"","",324,3.2219512195122
FOODS_1,CA,FOODS,d_1094,2014-01-26,"","",348,3.2219512195122
FOODS_1,CA,FOODS,d_1095,2014-01-27,"","",246,3.2219512195122
FOODS_1,CA,FOODS,d_1096,2014-01-28,"","",206,3.2219512195122
FOODS_1,CA,FOODS,d_1097,2014-01-29,"","",221,3.2219512195122
FOODS_1,CA,FOODS,d_1098,2014-01-30,"","",226,3.2219512195122
FOODS_1,CA,FOODS,d_1099,2014-01-31,"","",354,3.2219512195122
FOODS_1,CA,FOODS,d_11,2011-02-08,"","",217,3.01663551401869
FOODS_1,CA,FOODS,d_110,2011-05-18,"","",177,2.98785123966942
FOODS_1,CA,FOODS,d_1100,2014-02-01,"","",469,3.23
FOODS_1,CA,FOODS,d_1101,2014-02-02,SuperBowl,Sporting,361,3.23
FOODS_1,CA,FOODS,d_1102,2014-02-03,"","",225,3.23
FOODS_1,CA,FOODS,d_1103,2014-02-04,"","",249,3.23
FOODS_1,CA,FOODS,d_1104,2014-02-05,"","",253,3.23
FOODS_1,CA,FOODS,d_1105,2014-02-06,"","",293,3.23
FOODS_1,CA,FOODS,d_1106,2014-02-07,"","",376,3.23
FOODS_1,CA,FOODS,d_1107,2014-02-08,"","",490,3.22092682926829
FOODS_1,CA,FOODS,d_1108,2014-02-09,"","",426,3.22092682926829
FOODS_1,CA,FOODS,d_1109,2014-02-10,"","",384,3.22092682926829
FOODS_1,CA,FOODS,d_111,2011-05-19,"","",121,2.98785123966942
FOODS_1,CA,FOODS,d_1110,2014-02-11,"","",381,3.22092682926829
FOODS_1,CA,FOODS,d_1111,2014-02-12,"","",352,3.22092682926829
FOODS_1,CA,FOODS,d_1112,2014-02-13,"","",566,3.22092682926829
FOODS_1,CA,FOODS,d_1113,2014-02-14,ValentinesDay,Cultural,530,3.22092682926829
FOODS_1,CA,FOODS,d_1114,2014-02-15,"","",361,3.22092682926829
FOODS_1,CA,FOODS,d_1115,2014-02-16,"","",368,3.22092682926829
FOODS_1,CA,FOODS,d_1116,2014-02-17,PresidentsDay,National,263,3.22092682926829
FOODS_1,CA,FOODS,d_1117,2014-02-18,"","",240,3.22092682926829
FOODS_1,CA,FOODS,d_1118,2014-02-19,"","",248,3.22092682926829
FOODS_1,CA,FOODS,d_1119,2014-02-20,"","",231,3.22092682926829
FOODS_1,CA,FOODS,d_112,2011-05-20,"","",204,2.98785123966942
FOODS_1,CA,FOODS,d_1120,2014-02-21,"","",364,3.22092682926829
FOODS_1,CA,FOODS,d_1121,2014-02-22,"","",370,3.23068292682927
FOODS_1,CA,FOODS,d_1122,2014-02-23,"","",309,3.23068292682927
FOODS_1,CA,FOODS,d_1123,2014-02-24,"","",266,3.23068292682927
FOODS_1,CA,FOODS,d_1124,2014-02-25,"","",210,3.23068292682927
FOODS_1,CA,FOODS,d_1125,2014-02-26,"","",203,3.23068292682927
FOODS_1,CA,FOODS,d_1126,2014-02-27,"","",223,3.23068292682927
FOODS_1,CA,FOODS,d_1127,2014-02-28,"","",286,3.23068292682927
FOODS_1,CA,FOODS,d_1128,2014-03-01,"","",418,3.23917874396135
FOODS_1,CA,FOODS,d_1129,2014-03-02,"","",374,3.23917874396135
FOODS_1,CA,FOODS,d_113,2011-05-21,"","",178,3.01280991735537
FOODS_1,CA,FOODS,d_1130,2014-03-03,"","",232,3.23917874396135
FOODS_1,CA,FOODS,d_1131,2014-03-04,"","",198,3.23917874396135
FOODS_1,CA,FOODS,d_1132,2014-03-05,LentStart,Religious,225,3.23917874396135
FOODS_1,CA,FOODS,d_1133,2014-03-06,"","",261,3.23917874396135
FOODS_1,CA,FOODS,d_1134,2014-03-07,"","",334,3.23917874396135
FOODS_1,CA,FOODS,d_1135,2014-03-08,"","",368,3.23917874396135
FOODS_1,CA,FOODS,d_1136,2014-03-09,"","",270,3.23917874396135
FOODS_1,CA,FOODS,d_1137,2014-03-10,"","",274,3.23917874396135
FOODS_1,CA,FOODS,d_1138,2014-03-11,"","",228,3.23917874396135
FOODS_1,CA,FOODS,d_1139,2014-03-12,LentWeek2,Religious,218,3.23917874396135
FOODS_1,CA,FOODS,d_114,2011-05-22,"","",169,3.01280991735537
FOODS_1,CA,FOODS,d_1140,2014-03-13,"","",200,3.23917874396135
FOODS_1,CA,FOODS,d_1141,2014-03-14,"","",285,3.23917874396135
FOODS_1,CA,FOODS,d_1142,2014-03-15,"","",441,3.23917874396135
FOODS_1,CA,FOODS,d_1143,2014-03-16,Purim End,Religious,339,3.23917874396135
FOODS_1,CA,FOODS,d_1144,2014-03-17,StPatricksDay,Cultural,248,3.23917874396135
FOODS_1,CA,FOODS,d_1145,2014-03-18,"","",212,3.23917874396135
FOODS_1,CA,FOODS,d_1146,2014-03-19,"","",235,3.23917874396135
FOODS_1,CA,FOODS,d_1147,2014-03-20,"","",291,3.23917874396135
FOODS_1,CA,FOODS,d_1148,2014-03-21,"","",312,3.23917874396135
FOODS_1,CA,FOODS,d_1149,2014-03-22,"","",336,3.23932367149758
FOODS_1,CA,FOODS,d_115,2011-05-23,"","",112,3.01280991735537
FOODS_1,CA,FOODS,d_1150,2014-03-23,"","",318,3.23932367149758
FOODS_1,CA,FOODS,d_1151,2014-03-24,"","",255,3.23932367149758
FOODS_1,CA,FOODS,d_1152,2014-03-25,"","",349,3.23932367149758
FOODS_1,CA,FOODS,d_1153,2014-03-26,"","",238,3.23932367149758
FOODS_1,CA,FOODS,d_1154,2014-03-27,"","",270,3.23932367149758
FOODS_1,CA,FOODS,d_1155,2014-03-28,"","",350,3.23932367149758
FOODS_1,CA,FOODS,d_1156,2014-03-29,"","",413,3.23932367149758
FOODS_1,CA,FOODS,d_1157,2014-03-30,"","",392,3.23932367149758
FOODS_1,CA,FOODS,d_1158,2014-03-31,"","",271,3.23932367149758
FOODS_1,CA,FOODS,d_1159,2014-04-01,"","",296,3.23932367149758
FOODS_1,CA,FOODS,d_116,2011-05-24,"","",137,3.01280991735537
FOODS_1,CA,FOODS,d_1160,2014-04-02,"","",411,3.23932367149758
FOODS_1,CA,FOODS,d_1161,2014-04-03,"","",361,3.23932367149758
FOODS_1,CA,FOODS,d_1162,2014-04-04,"","",348,3.23932367149758
FOODS_1,CA,FOODS,d_1163,2014-04-05,"","",385,3.23932367149758
FOODS_1,CA,FOODS,d_1164,2014-04-06,"","",383,3.23932367149758
FOODS_1,CA,FOODS,d_1165,2014-04-07,"","",248,3.23932367149758
FOODS_1,CA,FOODS,d_1166,2014-04-08,"","",257,3.23932367149758
FOODS_1,CA,FOODS,d_1167,2014-04-09,"","",279,3.23932367149758
